,ENTITY_F1,OBSERVATION_F1
0,0.6427973480498945,0.903147326402151
1,0.5761573893034786,0.9151557263032487
2,0.43397251565347306,0.8736998844742268
3,0.5099310798491195,0.8581385923806867
4,0.5704873133535692,0.8909656605548637
5,0.5944492827770749,0.9066326844706358
6,0.5019563243449792,0.8982362166893836
7,0.7018904819263982,0.8791159774037766
8,0.49644498378275037,0.8844625794558318
9,0.6003324268735393,0.8915136776506699
10,0.4633821102172429,0.9018322968759025
11,0.5365401002241186,0.9088468712017335
12,0.6329969922292416,0.8899159758646578
13,0.5116182846919235,0.8994721641066082
14,0.5309645857028726,0.9034985286724326
15,0.5368444980882744,0.9023093414880987
16,0.6143322646401529,0.9069432972191465
17,0.5540077812189855,0.8771618182584475
18,0.41404481271769766,0.90120102014158
19,0.6496598054146883,0.8813677112095046
20,0.5765427791784192,0.8853754581248378
21,0.6488523826587643,0.8977868677709038
22,0.6105359601040304,0.883175504621404
23,0.49309665862050894,0.8885696567222372
24,0.5056282542397212,0.8659697107015317
25,0.6245395130496314,0.8943321439750193
26,0.5132498648609495,0.8977515306585527
27,0.648981111834314,0.891821176310614
28,0.5926819809242116,0.8738563636140283
29,0.5521146579437177,0.904444760435903
